,loop_step,standard_dev,number_town_people,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,guac_1
57,57,1,50,true,true,true,true,true,false,true,true,true,true,false,false,false,true,true,true,true,true,false,not_all_assigned
58,58,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,not_all_assigned
59,59,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true
60,60,1,50,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,not_all_assigned
61,61,1,50,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,not_all_assigned
62,62,1,50,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,not_all_assigned,not_all_assigned
63,63,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,not_all_assigned
64,64,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,not_all_assigned
65,65,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,not_all_assigned
66,66,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,not_all_assigned
67,67,1,50,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,not_all_assigned
68,68,1,50,true,true,true,true,true,true,false,true,false,false,true,false,true,true,false,true,true,true,false,not_all_assigned
69,69,1,50,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,not_all_assigned
70,70,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,not_all_assigned
71,71,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,not_all_assigned,not_all_assigned
72,72,1,50,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,not_all_assigned,not_all_assigned
73,73,1,50,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,true,true,true,true,not_all_assigned
74,74,1,50,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,not_all_assigned
75,75,1,50,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,not_all_assigned
76,76,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,not_all_assigned
77,77,1,50,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,not_all_assigned
78,78,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,not_all_assigned
79,79,1,50,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,false,false,false,true
