,loop_step,standard_dev,number_town_people,guac_20,guac_19,guac_18,guac_17,guac_16,guac_15,guac_14,guac_13,guac_12,guac_11,guac_10,guac_9,guac_8,guac_7,guac_6,guac_5,guac_4,guac_3,guac_2,fraction_multiple_condorcet_winners
60,60,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,0.0
61,61,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,0.0
62,62,1,50,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,0.005
63,63,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
64,64,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,not_all_assigned,0.0
65,65,1,50,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,false,false,true,0.0
66,66,1,50,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,false,false,false,0.005
67,67,1,50,true,true,true,false,false,true,true,true,true,true,true,true,false,false,true,true,true,true,not_all_assigned,0.0
68,68,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,0.0
69,69,1,50,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,0.0
70,70,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,0.0
71,71,1,50,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,0.0
72,72,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,not_all_assigned,0.0
73,73,1,50,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,false,0.0
74,74,1,50,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,0.0
75,75,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,true,0.0
76,76,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,0.0
77,77,1,50,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false,0.0
78,78,1,50,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,0.0
79,79,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,false,true,0.0
80,80,1,50,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,false,0.0
81,81,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,0.0
82,82,1,50,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,true,0.0
83,83,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,0.0
84,84,1,50,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,0.0
85,85,1,50,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,false,false,false,not_all_assigned,0.0
86,86,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,0.0
87,87,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,0.0
88,88,1,50,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false,true,false,true,false,0.0
89,89,1,50,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,not_all_assigned,0.0
90,90,1,50,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,0.0
91,91,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,0.0
92,92,1,50,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,false,false,true,true,0.0
93,93,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,0.0
94,94,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,not_all_assigned,0.0
95,95,1,50,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,0.0
96,96,1,50,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,false,not_all_assigned,0.0
97,97,1,50,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,false,0.0
98,98,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,0.0
99,99,1,50,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,0.0
100,100,1,50,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,false,0.0
101,101,1,50,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,0.005
102,102,1,50,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,0.0
103,103,1,50,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,0.0
104,104,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,false,false,0.0
105,105,1,50,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,0.0
106,106,1,50,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,0.0
